application_id,applicant_age,annual_income,credit_utilization,delinquencies_2y,credit_score,employment_type
APP-42-000050,36,57469.85,0.412,0,705,salaried
APP-42-000051,36,69369.91,0.3683,0,604,salaried
APP-42-000052,36,21994.87,0.1912,0,703,salaried
APP-42-000053,58,41117.16,0.3461,0,689,contract
APP-42-000054,71,37846.55,0.3868,0,622,salaried
APP-42-000055,71,34496.64,0.5884,0,685,salaried
APP-42-000056,61,42136.59,0.2712,1,669,self_employed
APP-42-000057,32,111548.83,0.2912,0,684,salaried
APP-42-000058,73,30448.53,0.5992,0,622,salaried
APP-42-000059,50,83495.92,0.156,0,666,salaried
APP-42-000060,51,19427.05,0.501,0,627,salaried
APP-42-000061,59,40774.54,0.2136,0,676,self_employed
APP-42-000062,63,53611.25,0.3889,0,685,salaried
APP-42-000063,73,67671.63,0.3398,0,656,contract
APP-42-000064,53,72487.88,0.1449,0,648,self_employed
APP-42-000065,54,75836.95,0.2154,0,688,self_employed
APP-42-000066,62,40465.35,0.3137,0,680,salaried
APP-42-000067,35,38013.88,0.1464,1,673,salaried
APP-42-000068,37,78581.12,0.1711,0,691,self_employed
APP-42-000069,55,44125.04,0.3798,1,621,salaried
APP-42-000070,24,24303.42,0.2858,0,631,salaried
APP-42-000071,38,26283.38,0.2746,1,616,self_employed
APP-42-000072,60,29563.66,0.3145,0,608,salaried
APP-42-000073,74,64436.69,0.2549,0,667,self_employed
APP-42-000074,49,53015.21,0.2832,0,655,contract
APP-42-000075,42,71665.66,0.2809,0,645,self_employed
APP-42-000076,45,38754.84,0.1797,0,587,salaried
APP-42-000077,58,53487.16,0.5868,0,588,self_employed
APP-42-000078,50,69152.86,0.6893,0,642,salaried
APP-42-000079,22,41351.31,0.0865,0,661,self_employed
APP-42-000080,50,63021.2,0.3444,0,660,self_employed
APP-42-000081,43,34062.1,0.5548,0,587,self_employed
APP-42-000082,59,40147.7,0.3484,1,672,salaried
APP-42-000083,69,39737.24,0.4798,0,631,salaried
APP-42-000084,73,25394.51,0.283,0,666,salaried
APP-42-000085,54,64076.62,0.1141,0,742,salaried
APP-42-000086,40,37866.75,0.0706,0,724,salaried
APP-42-000087,45,49358.82,0.3603,0,640,salaried
APP-42-000088,30,63857.59,0.2603,0,643,salaried
APP-42-000089,72,62667.12,0.323,2,608,self_employed
APP-42-000090,67,70683.1,0.3642,0,662,contract
APP-42-000091,67,46436.12,0.1539,0,669,salaried
APP-42-000092,39,38839.22,0.2791,0,647,self_employed
APP-42-000093,38,46917.92,0.4501,0,679,self_employed
APP-42-000094,68,19379.4,0.5701,1,603,salaried
APP-42-000095,50,22116.7,0.3154,1,700,salaried
APP-42-000096,59,23683.06,0.524,1,614,self_employed
APP-42-000097,47,28325.4,0.1953,0,718,contract
APP-42-000098,45,61076.09,0.1195,0,686,self_employed
APP-42-000099,55,29791.74,0.0634,1,692,contract
APP-42-000100,65,39815.46,0.3722,1,609,contract
APP-42-000101,39,100165.15,0.1991,1,625,salaried
APP-42-000102,65,40297.91,0.256,0,673,salaried
APP-42-000103,34,73543.59,0.1519,1,682,salaried
APP-42-000104,43,29334.23,0.127,0,677,contract
APP-42-000105,71,43783.37,0.1487,0,637,salaried
APP-42-000106,73,29070.75,0.4787,0,597,salaried
APP-42-000107,71,40681.63,0.2078,0,626,self_employed
APP-42-000108,38,77821.22,0.4147,0,593,salaried
APP-42-000109,67,18957.86,0.0809,0,684,self_employed
APP-42-000110,72,62251.19,0.2623,1,673,salaried
APP-42-000111,74,55868.42,0.218,0,665,contract
APP-42-000112,22,35355.79,0.0442,0,622,self_employed
APP-42-000113,61,22129.53,0.1966,0,662,salaried
APP-42-000114,75,51004.61,0.1128,0,672,self_employed
APP-42-000115,63,36635.72,0.3878,2,668,salaried
APP-42-000116,33,55713.17,0.4929,0,593,salaried
APP-42-000117,62,49613.52,0.6977,0,599,self_employed
APP-42-000118,26,118299.92,0.1708,0,718,self_employed
APP-42-000119,47,42974.17,0.1074,0,690,salaried
APP-42-000120,55,27919.38,0.5029,0,648,salaried
APP-42-000121,46,54100.66,0.2188,0,668,self_employed
APP-42-000122,59,55326.0,0.2759,0,668,salaried
APP-42-000123,34,103523.42,0.5351,0,650,salaried
APP-42-000124,54,77599.11,0.4706,0,613,salaried
APP-42-000125,56,59651.77,0.2553,0,685,salaried
APP-42-000126,55,109624.55,0.4548,0,599,self_employed
APP-42-000127,36,25493.54,0.1076,1,669,salaried
APP-42-000128,37,34480.07,0.0997,0,684,salaried
APP-42-000129,35,29448.06,0.1795,0,652,contract
APP-42-000130,46,39561.22,0.4139,1,624,salaried
APP-42-000131,53,22990.18,0.4548,2,584,self_employed
APP-42-000132,40,69517.45,0.2506,0,631,salaried
APP-42-000133,43,43381.03,0.0552,0,674,self_employed
APP-42-000134,36,21830.35,0.4806,1,586,self_employed
APP-42-000135,33,28041.24,0.3078,1,646,self_employed
APP-42-000136,57,58246.11,0.2645,0,627,salaried
APP-42-000137,65,77727.91,0.0562,0,703,salaried
APP-42-000138,36,147002.08,0.1445,0,640,self_employed
APP-42-000139,68,243439.65,0.5986,0,605,salaried
APP-42-000140,52,61569.7,0.4156,0,625,salaried
APP-42-000141,30,28445.75,0.6644,1,633,salaried
APP-42-000142,41,15174.54,0.2735,0,668,contract
APP-42-000143,21,56797.14,0.3701,0,642,self_employed
APP-42-000144,23,31347.27,0.4662,0,650,salaried
APP-42-000145,39,39009.23,0.5162,1,554,self_employed
APP-42-000146,45,35008.52,0.4266,1,622,salaried
APP-42-000147,64,45368.12,0.3091,0,710,salaried
APP-42-000148,28,88105.4,0.5531,0,630,salaried
APP-42-000149,67,53443.31,0.4308,0,642,self_employed
APP-42-000150,33,44925.05,0.1534,1,670,salaried
APP-42-000151,28,27733.34,0.0462,0,710,self_employed
APP-42-000152,59,19514.72,0.5564,3,516,self_employed
APP-42-000153,63,37516.29,0.2342,0,616,salaried
APP-42-000154,54,47591.98,0.3066,1,643,salaried
APP-42-000155,27,129619.88,0.242,0,642,salaried
APP-42-000156,27,52662.08,0.236,1,682,contract
APP-42-000157,42,84162.67,0.3912,0,636,contract
APP-42-000158,45,37249.26,0.3037,1,583,contract
APP-42-000159,75,25547.15,0.2017,0,631,salaried
APP-42-000160,36,28830.4,0.4979,0,556,salaried
APP-42-000161,31,32896.64,0.2103,0,659,salaried
APP-42-000162,73,158048.68,0.366,0,643,salaried
APP-42-000163,29,31202.0,0.5336,1,599,salaried
APP-42-000164,22,77743.41,0.7694,0,632,salaried
APP-42-000165,44,29833.59,0.1749,0,703,contract
APP-42-000166,43,81827.21,0.3036,1,632,salaried
APP-42-000167,55,60580.18,0.1589,0,612,salaried
APP-42-000168,69,44974.42,0.3285,0,670,self_employed
APP-42-000169,72,47934.01,0.1879,0,684,salaried
APP-42-000170,36,34196.1,0.6635,0,622,self_employed
APP-42-000171,74,62651.3,0.3032,0,683,salaried
APP-42-000172,55,38168.24,0.4666,0,604,self_employed
APP-42-000173,24,24982.15,0.0878,0,736,salaried
APP-42-000174,72,24273.35,0.2052,0,640,salaried
APP-42-000175,28,53902.03,0.3161,0,675,self_employed
APP-42-000176,53,116832.92,0.3274,0,605,salaried
APP-42-000177,64,53529.89,0.3379,0,625,salaried
APP-42-000178,34,45924.27,0.2544,0,703,salaried
APP-42-000179,35,57365.85,0.1503,0,665,salaried
APP-42-000180,47,100539.0,0.3021,0,679,self_employed
APP-42-000181,69,55307.31,0.5358,0,635,salaried
APP-42-000182,33,39104.39,0.3303,1,631,salaried
APP-42-000183,57,90080.48,0.2916,2,659,salaried
APP-42-000184,45,62057.46,0.2019,0,660,self_employed
APP-42-000185,27,114081.2,0.4867,1,566,salaried
APP-42-000186,60,54218.58,0.413,0,620,self_employed
APP-42-000187,66,24997.77,0.3391,0,666,self_employed
APP-42-000188,52,23098.26,0.3074,0,666,salaried
APP-42-000189,30,121541.42,0.0614,0,639,self_employed
APP-42-000190,29,126502.35,0.2303,2,607,salaried
APP-42-000191,44,44411.98,0.1743,1,636,salaried
APP-42-000192,48,39705.58,0.1549,1,644,self_employed
APP-42-000193,51,109512.54,0.1863,2,594,contract
APP-42-000194,34,26665.47,0.2331,0,646,salaried
APP-42-000195,48,29968.44,0.1004,1,640,salaried
APP-42-000196,37,69830.75,0.0865,0,702,salaried
APP-42-000197,58,39457.02,0.2929,1,661,salaried
APP-42-000198,64,48882.9,0.1209,0,672,salaried
APP-42-000199,56,44806.41,0.2607,0,649,salaried
