application_id,applicant_age,annual_income,credit_utilization,delinquencies_2y,credit_score,employment_type
APP-43-000072,72,83935.33,0.3922,2,602,salaried
APP-43-000073,46,57939.72,0.3771,1,619,salaried
APP-43-000074,57,121667.94,0.2828,1,624,salaried
APP-43-000075,52,45991.19,0.2365,0,656,salaried
APP-43-000076,23,31643.81,0.5524,0,599,salaried
APP-43-000077,74,89212.9,0.127,1,664,salaried
APP-43-000078,54,12026.95,0.3363,1,645,salaried
APP-43-000079,59,42545.64,0.6189,1,608,salaried
APP-43-000080,52,203077.67,0.2341,1,648,salaried
APP-43-000081,51,56074.36,0.367,0,684,salaried
APP-43-000082,38,67290.23,0.255,0,653,salaried
APP-43-000083,66,32748.64,0.2541,2,625,self_employed
APP-43-000084,59,54570.42,0.5246,0,679,self_employed
APP-43-000085,25,51112.82,0.7168,2,532,salaried
APP-43-000086,46,153596.61,0.1105,1,603,salaried
APP-43-000087,36,31712.14,0.4855,0,648,salaried
APP-43-000088,46,12100.84,0.3701,1,623,self_employed
APP-43-000089,74,69124.06,0.568,2,642,contract
APP-43-000090,47,129638.97,0.4133,0,669,salaried
APP-43-000091,35,37844.24,0.1238,1,679,salaried
APP-43-000092,43,20273.28,0.5004,1,637,salaried
APP-43-000093,38,30636.52,0.2731,0,630,salaried
APP-43-000094,53,70155.07,0.4159,0,645,salaried
APP-43-000095,28,40568.93,0.0589,1,723,contract
APP-43-000096,35,56574.15,0.3729,1,594,self_employed
APP-43-000097,29,15113.84,0.3764,0,646,salaried
APP-43-000098,39,41514.59,0.4115,1,595,contract
APP-43-000099,27,85267.31,0.3109,0,671,contract
APP-43-000100,63,47783.55,0.3108,0,680,self_employed
APP-43-000101,69,31469.58,0.3893,0,619,self_employed
APP-43-000102,38,98573.85,0.2737,0,658,self_employed
APP-43-000103,54,95114.64,0.4444,0,677,salaried
APP-43-000104,21,42788.61,0.5271,0,632,salaried
APP-43-000105,74,36753.62,0.3033,0,626,contract
APP-43-000106,25,111628.76,0.3665,0,660,salaried
APP-43-000107,42,40844.99,0.3963,0,699,salaried
APP-43-000108,49,50521.32,0.3051,1,598,salaried
APP-43-000109,71,148825.82,0.5426,2,579,salaried
APP-43-000110,46,61253.31,0.1125,2,633,contract
APP-43-000111,46,42088.03,0.4348,4,582,salaried
APP-43-000112,35,18638.28,0.0354,0,694,self_employed
APP-43-000113,33,56357.67,0.4186,0,658,salaried
APP-43-000114,25,52700.24,0.1016,0,730,self_employed
APP-43-000115,62,39217.85,0.7083,1,589,self_employed
APP-43-000116,22,91954.66,0.5675,1,583,salaried
APP-43-000117,51,27166.03,0.2529,4,591,salaried
APP-43-000118,34,23142.31,0.3677,0,690,salaried
APP-43-000119,73,35828.88,0.5509,2,586,salaried
APP-43-000120,74,53641.25,0.5677,0,643,self_employed
APP-43-000121,46,23826.01,0.2441,2,630,self_employed
APP-43-000122,22,28430.88,0.1093,1,654,self_employed
APP-43-000123,28,34099.49,0.323,0,641,salaried
APP-43-000124,59,52567.22,0.0736,0,707,contract
APP-43-000125,25,36185.28,0.7836,0,586,salaried
APP-43-000126,50,90994.2,0.6872,2,569,self_employed
APP-43-000127,27,15700.45,0.5368,0,581,salaried
APP-43-000128,36,65928.58,0.5948,0,615,salaried
APP-43-000129,55,37968.27,0.1358,1,651,salaried
APP-43-000130,44,67862.36,0.489,0,637,salaried
APP-43-000131,60,155731.57,0.1069,0,662,self_employed
APP-43-000132,23,50525.64,0.3411,0,614,salaried
APP-43-000133,70,58495.54,0.0636,1,674,self_employed
APP-43-000134,34,83123.45,0.3604,1,645,salaried
APP-43-000135,57,25300.03,0.2131,0,645,self_employed
APP-43-000136,58,75553.62,0.607,1,608,salaried
APP-43-000137,50,82231.63,0.6778,0,598,self_employed
APP-43-000138,75,48741.71,0.3315,0,646,salaried
APP-43-000139,66,75259.6,0.5903,1,607,salaried
APP-43-000140,58,56404.41,0.4287,2,588,salaried
APP-43-000141,37,34543.86,0.1536,1,625,self_employed
APP-43-000142,48,25509.03,0.4307,1,675,salaried
APP-43-000143,58,90171.57,0.5454,0,621,salaried
APP-43-000144,35,139985.01,0.3954,0,649,salaried
APP-43-000145,25,34123.73,0.635,0,652,salaried
APP-43-000146,50,64413.63,0.4654,0,666,salaried
APP-43-000147,44,26990.49,0.2587,0,632,salaried
APP-43-000148,22,40642.77,0.5207,0,615,salaried
APP-43-000149,64,40097.6,0.4775,0,716,salaried
APP-43-000150,61,28153.28,0.1918,0,670,salaried
APP-43-000151,22,50589.54,0.5316,1,633,self_employed
APP-43-000152,69,90977.16,0.1196,0,684,salaried
APP-43-000153,64,71793.71,0.2432,2,619,salaried
APP-43-000154,59,39723.21,0.5923,0,623,contract
APP-43-000155,62,115479.57,0.3181,0,660,salaried
APP-43-000156,36,59603.31,0.3288,1,643,self_employed
APP-43-000157,72,142462.23,0.1691,0,597,self_employed
APP-43-000158,55,25794.78,0.2706,1,626,self_employed
APP-43-000159,70,278381.97,0.2493,0,639,salaried
APP-43-000160,71,48075.22,0.2269,0,611,salaried
APP-43-000161,24,27656.07,0.6186,0,593,salaried
APP-43-000162,30,29486.17,0.4024,0,581,contract
APP-43-000163,48,88589.12,0.291,0,706,salaried
APP-43-000164,27,87276.4,0.2412,1,629,salaried
APP-43-000165,31,82962.93,0.4059,1,610,contract
APP-43-000166,43,74187.08,0.4739,1,637,salaried
APP-43-000167,67,28560.48,0.1582,3,610,contract
APP-43-000168,34,49070.71,0.285,0,675,self_employed
APP-43-000169,74,14889.85,0.4131,0,632,salaried
APP-43-000170,27,32856.89,0.4473,1,617,contract
APP-43-000171,39,76884.4,0.1559,1,643,salaried
APP-43-000172,36,18937.77,0.6819,0,635,salaried
APP-43-000173,39,196714.95,0.4141,2,590,contract
APP-43-000174,41,107024.12,0.0443,0,613,salaried
APP-43-000175,61,28422.29,0.0839,0,681,self_employed
APP-43-000176,47,79589.36,0.3856,0,672,salaried
APP-43-000177,39,72586.19,0.4486,1,599,self_employed
APP-43-000178,22,49567.27,0.4751,0,604,self_employed
APP-43-000179,23,74031.31,0.7207,2,553,contract
APP-43-000180,75,46242.03,0.6135,1,535,self_employed
APP-43-000181,27,53025.74,0.2531,3,577,contract
APP-43-000182,63,72569.87,0.1604,0,649,salaried
APP-43-000183,51,70003.43,0.6554,0,633,self_employed
APP-43-000184,29,64881.43,0.1706,1,638,contract
APP-43-000185,39,65639.83,0.3859,0,664,salaried
APP-43-000186,68,92587.18,0.3144,0,615,salaried
APP-43-000187,44,84097.53,0.3282,2,684,salaried
APP-43-000188,55,28467.79,0.5018,0,607,salaried
APP-43-000189,69,36103.56,0.452,0,608,salaried
APP-43-000190,68,122568.44,0.0759,0,717,self_employed
APP-43-000191,24,129720.81,0.2293,0,631,self_employed
APP-43-000192,54,74692.3,0.2593,1,649,salaried
APP-43-000193,32,47326.77,0.1495,0,751,contract
APP-43-000194,52,86536.98,0.5902,0,606,contract
APP-43-000195,62,80228.84,0.1888,0,613,contract
APP-43-000196,25,23562.99,0.0871,0,680,salaried
APP-43-000197,62,57315.51,0.5691,1,586,contract
APP-43-000198,42,25566.75,0.4942,0,606,salaried
APP-43-000199,57,42905.37,0.4661,0,649,self_employed
